Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,Q56350874
,,,,,,,,Barbie: Dreamtopia,2016,Q45710303
,,,,,,,,Jim Button and Luke the Engine Driver,2018,Q23899399
,,,,,,,,Capture the Flag,2015,Q21647697
,,,,,,,,Dolittle,2020,Q38689704
,,,,,,,,Deep,2017,Q30051739
,,,,,,,,Lion of Oz,2010,Q3223936
,,,,,,,,הבולשת - הסרט (2017),2017,
,,,,,,,,Escape from Planet Earth,2013,Q1658594
,,,,,,,,Maya the Bee,2015,Q18654947
,,,,,,,,The Good Dinosaur,2015,Q7737199
,,,,,,,,Jingle Jangle: A Christmas Journey,2020,Q65091103
,,,,,,,,2112: The Birth of Doraemon,2014,Q1309634
,,,,,,,,The Lorax,2012,Q786594
,,,,,,,,המהדורה של אלמו (2020),2020,
,,,,,,,,Moomins on the Riviera,2016,Q16729557
,,,,,,,,Epic,2013,Q2700629
,,,,,,,,המסע המווושלם (2020),2020,
,,,,,,,,The Tale of Despereaux,2009,Q840353
,,,,,,,,A Wizard's Tale,2018,Q48674169
,,,,,,,,Red Shoes and the Seven Dwarfs,2019,Q76013940
,,,,,,,,הנסיכה סופיה הראשונה - הארמון הצף (2014),2014,
,,,,,,,,Sofia the First: Once Upon a Princess,2013,Q11723965
,,,,,,,,Sofia the First: The Curse of Princess Ivy,2015,Q25344796
,,,,,,,,My Little Pony: The Movie,2017,Q20814663
,,,,,,,,Beverly Hills Chihuahua,2009,Q390341
,,,,,,,,Battle for Terra,2009,Q2298194
,,,,,,,,הרפתקאות מקס האריה בממלכת הקסמים (2014),2014,
,,,,,,,,The Spooky Tale of Captain Underpants Hack-a-Ween,2019,Q70206847
,,,,,,,,חינוך ביתי באדום (2018),2018,
,,,,,,,,Top Cat Begins,2017,Q19954882
,,,,,,,,Tad Jones: The Hero Returns,2018,Q13499767
,,,,,,,,Totally Spies! The Movie,2011,Q3036288
,,,,,,,,Turbo,2013,Q1523217
,,,,,,,,True: Winter Wishes,2020,Q78130667
,,,,,,,,Postman Pat: The Movie,2014,Q7234355
,,,,,,,,Rock Dog,2016,Q20751338
,,,,,,,,Space Dogs: Adventure to the Moon,2016,Q16536151
,,,,,,,,לאו דה וינצ'י - שודדי האוצר (2018),2018,
,,,,,,,,The Lego Movie,2014,Q2608065
,,,,,,,,Lego DC Comics Super Heroes: Justice League: Cosmic Clash,2016,Q21780577
,,,,,,,,Lego DC Comics Super Heroes: Justice League: Gotham City Breakout,2016,Q24204595
,,,,,,,,Lego Ninjago: Masters of Spinjitzu: Day of the Departed,2018,Q31090587
,,,,,,,,Lego Jurassic World: The Indominus Escape,2019,Q46995368
,,,,,,,,The Christmas Chronicles,2018,Q56615750
,,,,,,,,Yellowbird,2015,Q18509179
,,,,,,,,The Little Vampire 3D,2018,Q42225503
,,,,,,,,Frozen,2013,Q246283
,,,,,,,,Olaf's Frozen Adventure,2017,Q30318729
,,,,,,,,Frozen II,2019,Q24733929
,,,,,,,,Lego Frozen Northern Lights,2017,Q45266006
,,,,,,,,Moana,2016,Q18647981
,,,,,,,,Monster High: 13 Wishes,2013,Q19865426
,,,,,,,,"Monster High: Boo York, Boo York",2015,Q21427821
,,,,,,,,Monster High: Welcome to Monster High,2016,Q27032087
,,,,,,,,Monster High: Escape from Skull Shores,2013,Q19865023
,,,,,,,,Monster High: Ghouls Rule,2013,Q6902719
,,,,,,,,Monster High: Great Scarrier Reef,2016,Q22905727
,,,,,,,,Monster High: Why Do Ghouls Fall in Love?,2013,Q19865064
,,,,,,,,Monster High - Scaris: City of Frights,2013,Q19865017
,,,,,,,,"Monster High: Frights, Camera, Action!",2014,Q16521927
,,,,,,,,Planes,2013,Q1657080
,,,,,,,,Planes: Fire & Rescue,2014,Q15631322
,,,,,,,,Hotel Transylvania 3: Summer Vacation,2018,Q28840385
,,,,,,,,PAW Patrol: Mighty Pups,2019,Q97750589
,,,,,,,,"מפרץ ההרפתקאות: מוכנים, היכונו להצלה (2020)",2020,
,,,,,,,,Nine Lives,2016,Q20002304
,,,,,,,,Mirror Mirror,2012,Q628851
,,,,,,,,Spies in Disguise,2019,Q31271382
,,,,,,,,Spy Cat,2019,Q62056194
,,,,,,,,Monster Family,2017,Q38888554
,,,,,,,,The Addams Family,2019,Q54825652
,,,,,,,,The Willoughbys,2020,Q58393757
,,,,,,,,Norm of the North,2016,Q16253705
,,,,,,,,Norm of the North: Keys to the Kingdom,2018,Q61358191
,,,,,,,,נורם בעיר הגדולה 3 (2019),2019,
,,,,,,,,Stretch Armstrong: The Breakout,2018,Q50575835
,,,,,,,,סמי הכבאי - גיבורי הסופה (2015),2015,
,,,,,,,,Fireman Sam: Set for Action!,2019,Q65156531
,,,,,,,,Fireman Sam: Alien Alert! The Movie,2017,Q28841788
,,,,,,,,ספיידרמן: זעמו של ונום (2019),2019,
,,,,,,,,The LEGO Batman Movie,2017,Q23013169
,,,,,,,,The Lego Ninjago Movie,2017,Q22131901
,,,,,,,,Ice Age: Dawn of the Dinosaurs,2009,Q179503
,,,,,,,,Ice Age: Continental Drift,2012,Q35951
,,,,,,,,Ice Age: Collision Course,2016,Q15965953
,,,,,,,,The Spiderwick Chronicles,2008,Q461768
,,,,,,,,Pokémon the Movie: I Choose You!,2018,Q28016163
,,,,,,,,Pokémon the Movie: The Power of Us,2019,Q48928053
,,,,,,,,Pokémon the Movie: Volcanion and the Exquisite Magearna,2017,Q21825325
,,,,,,,,Mewtwo Strikes Back: Evolution,2020,Q60332508
,,,,,,,,Pinocchio,2013,Q5317361
,,,,,,,,Phineas and Ferb: Mission Marvel,2014,Q7186377
,,,,,,,,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,Q1300140
,,,,,,,,פיניאס ופרב: התיקים הסודיים של אלרתמ (2016),2016,
,,,,,,,,Phineas and Ferb: Star Wars,2014,Q18153157
,,,,,,,,Planet 51,2009,Q941262
,,,,,,,,Tangled: Before Ever After,2017,Q28804247
,,,,,,,,ParaNorman,2012,Q198028
,,,,,,,,Ferdinand,2017,Q18740903
,,,,,,,,צ'יקו בון בון ויום האוכמניות החגיגיות (2020),2020,
,,,,,,,,Camp Rock 2: The Final Jam,2010,Q276279
,,,,,,,,Frozen Fever,2015,Q18398561
,,,,,,,,Pup Star,2017,Q45321265
,,,,,,,,Khumba,2014,Q6402953
,,,,,,,,Kung Fu Panda,2008,Q129193
,,,,,,,,Coco,2017,Q5815826
,,,,,,,,Captain Underpants: The First Epic Movie,2017,Q20979182
,,,,,,,,Captain Underpants: Epic Choice-o-rama,2020,Q86526052
,,,,,,,,Captain Underpants: Mega Blissmas,2020,Q103925804
,,,,,,,,Ralph Breaks the Internet,2018,Q25167044
,,,,,,,,Rio 2,2014,Q6296387
,,,,,,,,The Queen's Corgi,2019,Q55635487
,,,,,,,,Stan Lee's Mighty 7,2015,Q16927906
,,,,,,,,The Nut Job 2: Nutty by Nature,2017,Q22000483
,,,,,,,,Sodor's Legend of the Lost Treasure,2016,Q19627555
,,,,,,,,Thomas & Friends: Big World! Big Adventures! The Movie,2019,Q48764045
,,,,,,,,King of the Railway,2016,Q12734396
,,,,,,,,Tale of the Brave,2016,Q18162648
,,,,,,,,Mission Kathmandu: The Adventures of Nelly & Simon,2018,Q50194189
,,,,,,,,Eurovision Song Contest: The Story of Fire Saga,2020,Q67456281
גילת אנקורי,Gilat Ankori,Q6989754,actor,United States of America,1955-10-31T00:00:00Z,female,4,Homeward Bound: The Incredible Journey,1993,Q230558
,,,dub actor,,,,,One Hundred and One Dalmatians,1989,Q165512
,,,model,,,,,Tiny Toon Adventures: How I Spent My Vacation,1993,Q1315247
,,,stage actor,,,,,Teenage Mutant Ninja Turtles,1990,Q58439
גילת מואב,גילת מואב,Q105811358,dub actor,,,,7,BURN-E,2008,Q797106
,,,,,,,,Cloudy with a Chance of Meatballs,2009,Q637169
,,,,,,,,The Tale of Despereaux,2009,Q840353
,,,,,,,,WALL·E,2008,Q104905
,,,,,,,,Space Buddies,2010,Q2448596
,,,,,,,,חנוכה אצל סבתא בבי (1989),1989,
,,,,,,,,Enchanted,2007,Q490464
גיתה בן אבי,גיתה בן אבי,Q105811359,dub actor,,,,1,Beverly Hills Chihuahua,2009,Q390341
גיתית שובל,Gitit Shoval,Q6649714,dub actor,Holon,1965-03-26T00:00:00Z,female,17,Barbie as the Princess and the Pauper,2004,Q2329413
,,,singer,,,,,Barbie as Rapunzel,2002,Q30568
,,,,,,,,Barbie of Swan Lake,2003,Q138718
,,,,,,,,Barbie in the Nutcracker,2001,Q25733
,,,,,,,,Barbie in the 12 Dancing Princesses,2006,Q807837
,,,,,,,,Barbie & the Diamond Castle,2008,Q807840
,,,,,,,,Barbie Mariposa,2008,Q2545652
,,,,,,,,Barbie as the Island Princess,2007,Q657652
,,,,,,,,Barbie and the Magic of Pegasus,2005,Q2545039
,,,,,,,,Barbie: Fairytopia,2005,Q1174616
,,,,,,,,Barbie Fairytopia: Magic of the Rainbow,2007,Q3634768
,,,,,,,,Barbie: Mermaidia,2006,Q2545667
,,,,,,,,Popeye's Voyage: The Quest for Pappy,2011,Q2058447
,,,,,,,,The Wind in the Willows,1998,Q2424381
,,,,,,,,Hercules,1997,Q271189
,,,,,,,,Cinderella,1997,Q11687614
,,,,,,,,Alice in Wonderland,1998,Q1740304
גל דורנפלד,גל דורנפלד,Q105811360,dub actor,,,,1,The Sleepover,2020,Q66828817
גל זמיר,גל זמיר,Q105811362,dub actor,,,,1,Kubo and the Two Strings,2016,Q18786471
גל לוי,גל לוי,Q105811363,dub actor,,,,1,Monster Family,2017,Q38888554
גל לוין,גל לוין,Q105811365,dub actor,,,,1,Ice Age: The Meltdown,2006,Q190910
גל סרי,גל סרי,Q105811366,dub actor,,,,13,Emil and the Detectives,2002,Q317816
,,,,,,,,Bibi Blocksberg,2002,Q856267
,,,,,,,,Barbie: Dolphin Magic,2019,Q42327319
,,,,,,,,Tabaluga,2019,Q55774139
,,,,,,,,True: Winter Wishes,2020,Q78130667
,,,,,,,,Thunderbirds,2004,Q1506377
,,,,,,,,LEGO Star Wars: The Padawan Menace,2018,Q11752288
,,,,,,,,Lilo & Stitch,2002,Q36092
,,,,,,,,Nanny McPhee,2005,Q523249
,,,,,,,,Stitch! The Movie,2003,Q1468857
,,,,,,,,Spy Kids 2: The Island of Lost Dreams,2002,Q549908
,,,,,,,,Spy Kids 3-D: Game Over,2003,Q550196
,,,,,,,,"רש""י (1999)",1999,
גל ענבי,גל ענבי,Q105811367,dub actor,,,,12,Barnyard,2006,Q1129308
,,,,,,,,The Wild,2006,Q757250
,,,,,,,,Howl's Moving Castle,2006,Q29011
,,,,,,,,Flushed Away,2006,Q752301
,,,,,,,,Enchanted,2007,Q490464
,,,,,,,,Over the Hedge,2006,Q245366
,,,,,,,,Monster House,2006,Q725842
,,,,,,,,Mary Poppins,2005,Q209170
,,,,,,,,Scooby-Doo 2: Monsters Unleashed,2004,Q581666
,,,,,,,,Ice Age: The Meltdown,2006,Q190910
,,,,,,,,The Polar Express,2004,Q862197
,,,,,,,,Happy Feet,2006,Q126800
גל שמי,גל שמי,Q105811369,dub actor,,,,23,Arthur and the Minimoys,2006,Q550232
,,,,,,,,Arthur 3: The War of the Two Worlds,2010,Q712194
,,,,,,,,Arthur and the Revenge of Maltazard,2009,Q389466
,,,,,,,,Harry Potter and the Order of the Phoenix,2007,Q102235
,,,,,,,,The Suite Life Movie,2011,Q139825
,,,,,,,,Spirited Away,2003,Q155653
,,,,,,,,Pets United,2020,Q98931267
,,,,,,,,Space Buddies,2010,Q2448596
,,,,,,,,כוח ג'י (2009),2009,
,,,,,,,,Enchanted,2007,Q490464
,,,,,,,,Monster House,2006,Q725842
,,,,,,,,Mary Poppins,2005,Q209170
,,,,,,,,Nanny McPhee,2005,Q523249
,,,,,,,,The Water Horse,2007,Q1535251
,,,,,,,,Spider-Man: Into the Spider-Verse,2018,Q29588607
,,,,,,,,Scooby-Doo 2: Monsters Unleashed,2004,Q581666
,,,,,,,,City of Ember,2009,Q1094125
,,,,,,,,The Spiderwick Chronicles,2008,Q461768
,,,,,,,,Peter Pan,2004,Q1364029
,,,,,,,,Chicken Little,2005,Q270940
,,,,,,,,Charlie and the Chocolate Factory,2005,Q466605
,,,,,,,,The Polar Express,2004,Q862197
,,,,,,,,Surf's Up,2007,Q633053
גלי אדלבאום,גלי אדלבאום,Q105811370,dub actor,,,,1,Underdogs,2014,Q5664643
גלי בנדק,גלי בנדק,Q105811371,dub actor,,,,1,The Lego Movie 2: The Second Part,2019,Q23796643
גלי גבעון,גלי גבעון,Q105811372,dub actor,,,,1,The SpongeBob Movie: Sponge Out of Water,2015,Q7765993
גלי הראל,גלי הראל,Q105811373,dub actor,,,,2,Dumbo,2019,Q24284798
,,,,,,,,Ghost Hunters,2015,Q19971213
גליה שפרינג בצר,גליה שפרינג בצר,Q105811374,dub actor,,,,3,Digimon: The Movie,2001,Q2609035
,,,,,,,,Beauty and the Beast,1995,Q4877922
,,,,,,,,הצב הגיבור (2002),2002,
גלית גיאת,Galit Giat,Q6955599,actor,Giv'at Shmuel,1971-10-03T00:00:00Z,female,1,Sinbad: Legend of the Seven Seas,2003,Q1043425
,,,dub actor,,,,,,,
,,,television presenter,,,,,,,
,,,stage actor,,,,,,,
,,,singer,,,,,,,
,,,television actor,,,,,,,
,,,comedian,,,,,,,
גלעד אבן ספיר,גלעד אבן ספיר,Q105811375,dub actor,,,,2,Wild Soccer Bunch,2016,Q875694
,,,,,,,,Bridge to Terabithia,2007,Q279274
גלעד ויטל,גלעד ויטל,Q54399350,musician,Metula,1970-01-24T00:00:00Z,male,1,Donkey Xote,2010,Q142600
גלעד לשם,גלעד לשם,Q105811377,dub actor,,,,1,The Angry Birds Movie 2,2019,Q18722273
גלעד קלטר,Gilad Kleter,Q2901873,actor,Hadar Yosef,1976-04-02T00:00:00Z,male,242,6 גיבורים: ביימקס חוזר (2018),2018,
,,,dub actor,,,,,Duck Duck Goose,2018,Q22674122
,,,stage actor,,,,,Troll – Kongens hale,2019,Q97735737
,,,television actor,,,,,The Legend of Sarila,2013,Q7746767
,,,,,,,,Ozzy,2016,Q27842209
,,,,,,,,Igor,2008,Q1766287
,,,,,,,,Scary Godmother: Halloween Spooktakular,2010,Q102036290
,,,,,,,,The Invincible Iron Man,2013,Q1782442
,,,,,,,,Alice in Wonderland,2010,Q174385
,,,,,,,,Alice Through the Looking Glass,2016,Q17485699
,,,,,,,,Elena and the Secret of Avalor,2017,Q27890317
,,,,,,,,אנשי מלכות השמיים (2019),2019,
,,,,,,,,Astro Boy,2010,Q1061539
,,,,,,,,Oz the Great and Powerful,2013,Q590216
,,,,,,,,Arthur and the Minimoys,2006,Q550232
,,,,,,,,Arthur 3: The War of the Two Worlds,2010,Q712194
,,,,,,,,The SpongeBob SquarePants Movie,2005,Q579928
,,,,,,,,The SpongeBob Movie: Sponge Out of Water,2015,Q7765993
,,,,,,,,The SpongeBob Movie: Sponge on the Run,2020,Q61450772
,,,,,,,,SpongeBob's Truth or Square,2009,Q1317749
,,,,,,,,Bolt,2008,Q212792
,,,,,,,,The Boss Baby: Get That Baby!,2020,Q99515218
,,,,,,,,Monsters University,2013,Q641362
,,,,,,,,Party Central,2014,Q15733028
,,,,,,,,Home,2015,Q4499813
,,,,,,,,Jungle Shuffle,2014,Q21869476
,,,,,,,,Barnyard,2006,Q1129308
,,,,,,,,Bling,2016,Q17620779
,,,,,,,,בן 10 - חייזר תחת התקפה (2012),2012,
,,,,,,,,Ben 10/Generator Rex: Heroes United,2012,Q3297120
,,,,,,,,The Powerpuff Girls Movie,2002,Q1199301
,,,,,,,,בעמקי החורף (2018),2018,
,,,,,,,,Bratz Girlz Really Rock,2008,Q4958201
,,,,,,,,בראץ - מותק של חיות (2009),2009,
,,,,,,,,Bratz Kidz: Sleep-Over Adventure,2008,Q4958203
,,,,,,,,Bratz Genie Magic,2007,Q3643907
,,,,,,,,Bratz: Super Babyz,2008,Q4958183
,,,,,,,,Barbie in A Mermaid Tale 2,2012,Q4859681
,,,,,,,,The Wild,2006,Q757250
,,,,,,,,Animals United,2011,Q708816
,,,,,,,,Justin and the Knights of Valour,2013,Q14451258
,,,,,,,,Garfield: The Movie,2004,Q568928
,,,,,,,,Garfield: A Tail of Two Kitties,2006,Q587921
,,,,,,,,Garfield's Pet Force,2009,Q656998
,,,,,,,,Capture the Flag,2015,Q21647697
,,,,,,,,Everyone's Hero,2007,Q1847868
,,,,,,,,Hot Wheels AcceleRacers: Breaking Point,2006,Q43303094
,,,,,,,,Dolittle,2020,Q38689704
,,,,,,,,Dora and the Lost City of Gold,2019,Q56064745
,,,,,,,,דורה מצילה את נסיכת השלג (2010),2010,
,,,,,,,,Cinderela Pop,2020,Q61002708
,,,,,,,,Deep,2017,Q30051739
,,,,,,,,Dumbo,2019,Q24284798
,,,,,,,,Dragon Ball: The Path to Power,2005,Q586410
,,,,,,,,Dragon Ball: Mystical Adventure,2005,Q2581981
,,,,,,,,Dragon Ball Z: The World's Strongest,2005,Q984139
,,,,,,,,Dragon Ball Z: Bojack Unbound,2005,Q1255010
,,,,,,,,Nim's Island,2008,Q177340
,,,,,,,,Harry Potter and the Goblet of Fire,2005,Q102225
,,,,,,,,Harry Potter and the Prisoner of Azkaban,2004,Q102448
,,,,,,,,Lion of Oz,2010,Q3223936
,,,,,,,,The Batman vs. Dracula,2005,Q1990704
,,,,,,,,הבולשת - הסרט (2017),2017,
,,,,,,,,Escape from Planet Earth,2013,Q1658594
,,,,,,,,Maya the Bee,2015,Q18654947
,,,,,,,,The Smurfs: The Legend of Smurfy Hollow,2013,Q14933876
,,,,,,,,The Smurfs,2011,Q454398
,,,,,,,,2112: The Birth of Doraemon,2014,Q1309634
,,,,,,,,Horton Hears a Who!,2008,Q630032
,,,,,,,,Muppets Most Wanted,2014,Q4120951
,,,,,,,,The Suite Life Movie,2011,Q139825
,,,,,,,,The Pied Piper of Hamlin,2006,Q84510273
,,,,,,,,The True History of Puss 'N Boots,2011,Q876747
,,,,,,,,Howl's Moving Castle,2006,Q29011
,,,,,,,,הילקחות בסכנה (2018),2018,
,,,,,,,,The Star of Andra and Tati,2019,Q65250454
,,,,,,,,הכלב הטרויאני (2006),2006,
,,,,,,,,Miraculous World: New York - United HeroeZ,2020,Q105055349
,,,,,,,,Epic,2013,Q2700629
,,,,,,,,Son of the Mask,2005,Q459398
,,,,,,,,The Land Before Time II: The Great Valley Adventure,2005,Q389358
,,,,,,,,Ultimate Avengers,2013,Q1051702
,,,,,,,,Ultimate Avengers 2,2013,Q590098
,,,,,,,,Disney Princess Enchanted Tales: Follow Your Dreams,2012,Q3828818
,,,,,,,,Horrid Henry: The Movie,2012,Q5905027
,,,,,,,,The BFG,2016,Q19689203
,,,,,,,,Penguins of Madagascar,2014,Q15616479
,,,,,,,,Beverly Hills Chihuahua,2009,Q390341
,,,,,,,,Half-Shell Heroes: Blast to the Past,2016,Q62455994
,,,,,,,,"Help, I Shrunk My Teacher",2016,Q21770451
,,,,,,,,Ella Enchanted,2004,Q939325
,,,,,,,,הרפתקאות מקס האריה בממלכת הקסמים (2014),2014,
,,,,,,,,The Hairy Tooth Fairy 2,2010,Q57618710
,,,,,,,,Harvie and the Magic Museum,2018,Q41252539
,,,,,,,,הרפתקת יום ההולדת של דורה (2010),2010,
,,,,,,,,זוג (2019),2019,
,,,,,,,,זיכרונות צורבים (2018),2018,
,,,,,,,,Pete's Dragon,2016,Q18786473
,,,,,,,,Space Buddies,2010,Q2448596
,,,,,,,,Open Season: Scared Silly,2016,Q22350801
,,,,,,,,Shrek the Halls,2007,Q388517
,,,,,,,,Flushed Away,2006,Q752301
,,,,,,,,The Dolphin: Story of a Dreamer,2011,Q1192861
,,,,,,,,Storks,2016,Q21450480
,,,,,,,,Top Cat: The Movie,2012,Q3084652
,,,,,,,,The Cat in the Hat,2004,Q1286387
,,,,,,,,Tom and Jerry: The Fast and the Furry,2005,Q632699
,,,,,,,,Tom and Jerry: Blast Off to Mars,2005,Q3269250
,,,,,,,,Tom and Jerry: A Nutcracker Tale,2007,Q3282900
,,,,,,,,Tony Hawk in Boom Boom Sabotage,2010,Q7822545
,,,,,,,,Turbo,2013,Q1523217
,,,,,,,,Tinker Bell and the Legend of the NeverBeast,2015,Q18581780
,,,,,,,,Tinker Bell and the Lost Treasure,2009,Q873598
,,,,,,,,Secret of the Wings,2012,Q1702819
,,,,,,,,The Pirate Fairy,2014,Q15396069
,,,,,,,,The Gruffalo,2010,Q1194060
,,,,,,,,Tarzan,2014,Q8954081
,,,,,,,,Fly Me to the Moon,2008,Q1434522
,,,,,,,,Joseph: King of Dreams,2003,Q1465155
,,,,,,,,The Boxcar Children,2014,Q19961258
,,,,,,,,ילדת הג'ונגל (2006),2006,
,,,,,,,,The Reef 2: High Tide,2013,Q5082967
,,,,,,,,Bee Movie,2007,Q275167
,,,,,,,,Hoodwinked Too! Hood vs. Evil,2011,Q2528865
,,,,,,,,Cats & Dogs: The Revenge of Kitty Galore,2010,Q959335
,,,,,,,,Cats & Dogs 3: Paws Unite!,2021,Q100249617
,,,,,,,,Almost Home,2014,Q80563084
,,,,,,,,Carmen Sandiego: To Steal or Not to Steal,2020,Q97356840
,,,,,,,,Lassie,2005,Q1567731
,,,,,,,,Lego DC Comics Super Heroes: Justice League: Gotham City Breakout,2016,Q24204595
,,,,,,,,Lego Marvel Super Heroes: Maximum Overload,2014,Q15844845
,,,,,,,,להסיר את הכישוף (2018),2018,
,,,,,,,,Looney Tunes: Back in Action,2003,Q834165
,,,,,,,,Lilly the Witch: The Dragon and the Magic Book,2010,Q641049
,,,,,,,,Lemonade Mouth,2011,Q950535
,,,,,,,,Free Birds,2013,Q6378736
,,,,,,,,Yellowbird,2015,Q18509179
,,,,,,,,Racing Stripes,2005,Q1165633
,,,,,,,,Olaf's Frozen Adventure,2017,Q30318729
,,,,,,,,Megamind,2010,Q81205
,,,,,,,,מגלים עם דורה - דורה מצילה את ממלכת הים (2013),2013,
,,,,,,,,מגלים עם דורה - ההרפתקה הפיראטית של דורה (2013),2013,
,,,,,,,,מגלים עם דורה - הרפתקה מסביב לעולם (2013),2013,
,,,,,,,,מגלים עם דורה - הרפתקת הריקודים של דורה (2013),2013,
,,,,,,,,Madagascar,2005,Q174555
,,,,,,,,Madagascar: Escape 2 Africa,2008,Q188474
,,,,,,,,Madagascar 3: Europe's Most Wanted,2012,Q244247
,,,,,,,,Moana,2016,Q18647981
,,,,,,,,מועדון החברים של מיקי מאוס - הרפתקת על (2013),2013,
,,,,,,,,Finding Dory,2016,Q9321426
,,,,,,,,מי זה שחזר (2018),2018,
,,,,,,,,Mia and the White Lion,2019,Q60222985
,,,,,,,,Cars,2006,Q182153
,,,,,,,,Cars 2,2011,Q192212
,,,,,,,,Cars 3,2017,Q21079862
,,,,,,,,Maleficent: Mistress of Evil,2019,Q54437950
,,,,,,,,The Snow Queen,2013,Q339467
,,,,,,,,Bridge to Terabithia,2007,Q279274
,,,,,,,,A Turtle's Tale: Sammy's Adventures,2010,Q785058
,,,,,,,,Felix - il coniglietto giramondo,2005,Q17478920
,,,,,,,,Over the Hedge,2006,Q245366
,,,,,,,,Mike's New Car,2013,Q1072759
,,,,,,,,Monsters vs. Aliens,2009,Q681918
,,,,,,,,PAW Patrol: Mighty Pups,2019,Q97750589
,,,,,,,,"מפרץ ההרפתקאות: מוכנים, היכונו להצלה (2020)",2020,
,,,,,,,,מקס בעולם המים (2015),2015,
,,,,,,,,Nine Lives,2016,Q20002304
,,,,,,,,Annabelle's Wish,2002,Q564104
,,,,,,,,The Lion Guard: Return of the Roar,2016,Q21577191
,,,,,,,,Two Tails,2018,Q56641766
,,,,,,,,Gnomeo & Juliet,2011,Q753677
,,,,,,,,Cardcaptor Sakura Movie 2: The Sealed Card,2006,Q2279734
,,,,,,,,Stuart Little 3: Call of the Wild,2006,Q2271822
,,,,,,,,Sinbad,2006,Q7521860
,,,,,,,,Cinderella,2015,Q15046091
,,,,,,,,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Q474082
,,,,,,,,סיפורי שפת הנחל (2008),2008,
,,,,,,,,סמי הכבאי - גיבורי הסופה (2015),2015,
,,,,,,,,Fireman Sam: Set for Action!,2019,Q65156531
,,,,,,,,Fireman Sam: Alien Alert! The Movie,2017,Q28841788
,,,,,,,,Speed Racer,2008,Q312078
,,,,,,,,Spy Kids: All the Time in the World,2011,Q550591
,,,,,,,,Scooby-Doo 2: Monsters Unleashed,2004,Q581666
,,,,,,,,Sherlock Gnomes,2018,Q24904727
,,,,,,,,עכברשע (2018),2018,
,,,,,,,,Valiant,2005,Q2009674
,,,,,,,,Winnie the Pooh,2011,Q922193
,,,,,,,,Pokémon: Mewtwo Returns,2002,Q2477539
,,,,,,,,פטורוזיטו והמשימה הגדולה (2005),2005,
,,,,,,,,Yona Yona Penguin,2011,Q6423183
,,,,,,,,Pinocchio,2006,Q19356
,,,,,,,,Pinocchio,2013,Q5317361
,,,,,,,,Phineas and Ferb: Mission Marvel,2014,Q7186377
,,,,,,,,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,Q1300140
,,,,,,,,פיניאס ופרב: התיקים הסודיים של אלרתמ (2016),2016,
,,,,,,,,Phineas and Ferb: Star Wars,2014,Q18153157
,,,,,,,,Wonder Park,2019,Q28869533
,,,,,,,,Planet 51,2009,Q941262
,,,,,,,,Tangled,2010,Q188439
,,,,,,,,Playmobil: The Movie,2019,Q57314399
,,,,,,,,Felix 2 - The Mechanical Rabbit and the Time Machine,2007,Q17478919
,,,,,,,,צ'יקו בון בון ויום האוכמניות החגיגיות (2020),2020,
,,,,,,,,Chicken Little,2005,Q270940
,,,,,,,,Charlie and the Chocolate Factory,2005,Q466605
,,,,,,,,TMNT,2007,Q203108
,,,,,,,,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Q19842746
,,,,,,,,Camp Rock 2: The Final Jam,2010,Q276279
,,,,,,,,Pup Star,2017,Q45321265
,,,,,,,,Pup Star: Better 2Gether,2017,Q45321340
,,,,,,,,Kung Fu Panda,2008,Q129193
,,,,,,,,Kung Fu Panda 2,2011,Q487447
,,,,,,,,Space Chimps 2: Zartog Strikes Back,2010,Q3231497
,,,,,,,,קורי קרסון: ילד על גלגלים - האלווין (2020),2020,
,,,,,,,,Go! Go! Cory Carson Summer Camp,2020,Q98709285
,,,,,,,,קורי קרסון: ילד על גלגלים - חג המולד (2020),2020,
,,,,,,,,Go! Go! Cory Carson: The Chrissy,2020,Q98709387
,,,,,,,,Coraline,2009,Q632668
,,,,,,,,Kikoriki. Team Invincible,2014,Q62350
,,,,,,,,Kangaroo Jack: G'Day U.S.A.!,2005,Q4189554
,,,,,,,,Wreck-It Ralph,2012,Q28891
,,,,,,,,Ralph Breaks the Internet,2018,Q25167044
,,,,,,,,Ratchet & Clank,2016,Q12127045
,,,,,,,,Robots,2005,Q756238
,,,,,,,,The Transformers: The Movie,2007,Q250378
,,,,,,,,Transformers Prime Beast Hunters: Predacons Rising,2014,Q15041226
,,,,,,,,Ratatouille,2007,Q170035
,,,,,,,,Rio 2,2014,Q6296387
,,,,,,,,Remi,2019,Q55160829
,,,,,,,,Stan Lee's Mighty 7,2015,Q16927906
,,,,,,,,The Nut Job 2: Nutty by Nature,2017,Q22000483
,,,,,,,,Zookeeper,2011,Q477070
,,,,,,,,Arthur Christmas,2011,Q711918
,,,,,,,,שקרי הקומוניזם (2018),2018,
,,,,,,,,Shrek 2,2004,Q485983
,,,,,,,,Shrek the Third,2007,Q486588
,,,,,,,,Shrek Forever After,2010,Q208131
