Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,Trolls,2016,Q7845294
,,,,,,,,Frozen II,2019,Q24733929
,,,,,,,,Toy Story 4,2019,Q18517638
אביגיל אריאלי,Avigail Arieli,Q6821754,actor,,1966-03-01T00:00:00Z,female,5,Sinbad: Legend of the Seven Seas,2003,Q1043425
,,,television presenter,,1966-03-09T00:00:00Z,,,Peter Pan,2004,Q1364029
,,,stage actor,,,,,Felix 2 - The Mechanical Rabbit and the Time Machine,2007,Q17478919
,,,,,,,,Kung Fu Panda 2,2011,Q487447
,,,,,,,,Kung Fu Panda 3,2016,Q15055043
אביגיל ערמון,אביגיל ערמון,Q105811006,dub actor,,,,3,Mars Needs Moms,2011,Q1320985
,,,,,,,,Rango,2011,Q275432
,,,,,,,,Underdogs,2014,Q5664643
אביגיל שטיינמץ,אביגיל שטיינמץ,Q105811007,dub actor,,,,1,Feel the Beat,2020,Q96473088
אביגל מרום,אביגל מרום,Q105811008,dub actor,,,,1,Inside Out,2015,Q6144664
אביה אומנסקי,אביה אומנסקי,Q105811009,dub actor,,,,1,We Can Be Heroes,2020,Q84598869
אביה שפיצר,אביה שפיצר,Q105811010,dub actor,,,,2,Smurfs: The Lost Village,2017,Q15985075
,,,,,,,,Zootopia,2016,Q15270647
אביהוד תדהר,אביהוד תדהר,Q105811012,dub actor,,,,1,Pokémon: The Movie 2000,2000,Q868048
אביטל אברג'ל,Avital Abergel,Q4829000,actor,Ramat Gan,1977-06-10T00:00:00Z,female,6,אי-אי-אי-שרדות (2010),2010,
,,,dub actor,,,,,Tiny Heroes,2009,Q16523604
,,,,,,,,השלישייה בקטלוניה (2010),2010,
,,,,,,,,השלישייה וגאודי (2010),2010,
,,,,,,,,השלישייה ותעלומת דון קישוט (2010),2010,
,,,,,,,,Yogi Bear,2011,Q570271
אביטל זר אביב,אביטל זר אביב,Q105811014,dub actor,,,,1,Zootopia,2016,Q15270647
אביטל פסטרנק,Avital Pasternak,Q12403319,actor,Ramat Gan,1968-09-05T00:00:00Z,female,3,Batman Beyond: Return of the Joker,2000,Q1573706
,,,dub actor,,,,,Batman & Mr. Freeze: SubZero,1999,Q498757
,,,singer,,,,,The Rugrats Movie,1999,Q857211
,,,stage actor,,,,,,,
אבינועם חי שמח,אבינועם חי שמח,Q105811015,dub actor,,,,1,Arthur and the Minimoys,2006,Q550232
אבינועם עמית יוסף,אבינועם עמית יוסף,Q105811016,dub actor,,,,8,Brother Bear 2,2006,Q641310
,,,,,,,,Bambi II,2006,Q200889
,,,,,,,,Piglet's Big Movie,2003,Q1406374
,,,,,,,,Racing Stripes,2005,Q1165633
,,,,,,,,Finding Nemo,2003,Q132863
,,,,,,,,The Incredibles,2004,Q213326
,,,,,,,,Springtime with Roo,2004,Q1810461
,,,,,,,,Pooh's Heffalump Movie,2005,Q1361113
אביעד בנטוב,אביעד בנטוב,Q30526521,entertainer,,1975-02-01T00:00:00Z,male,1,Escape from Planet Earth,2013,Q1658594
אביעד היטנר,אביעד היטנר,Q105811018,dub actor,,,,1,Ice Age: The Meltdown,2006,Q190910
אבישג שצברג,אבישג שצברג,Q105811020,dub actor,,,,8,Barbie: Star Light Adventure,2016,Q26399512
,,,,,,,,Barbie and the Secret Door,2014,Q18326707
,,,,,,,,Barbie in Rock 'N Royals,2015,Q23747502
,,,,,,,,Barbie in Princess Power,2015,Q19999891
,,,,,,,,Barbie and the Magic of Pegasus,2005,Q2545039
,,,,,,,,Barbie: Spy Squad,2016,Q23055501
,,,,,,,,"Monster High: Boo York, Boo York",2015,Q21427821
